项目         区域           版本         qcloud账单              公司公共分摊	平台分摊		总额（元）

少女前线	发行一部	大陆	176424.96	9373.93		5220.88		191019.77
东京喰种	发行一部	大陆	42746.29 	2271.21		2983.37		48000.87
谋三国	发行一部	大陆	27432.23 	1457.55		2983.37		31873.15
龙之力量	发行一部	大陆	20479.42	 	1088.13		0		21567.55
雄霸天地	发行一部	大陆	7556.22		401.48		0		7957.7
百日公主	发行一部	大陆	4334.75		230.32		1939.19		6504.26
美男宫殿	发行一部	大陆	3405.09		180.92		1790.02		5376.03
王道	发行一部	大陆	3710.46		197.15		0		3907.61
龙珠激斗	发行一部	大陆	2922.79		155.3		0		3078.09
美男大奥	发行一部	大陆	1214.14		64.51		0		1278.65
茜色	发行一部	大陆	629.54		33.45		0		662.99
平台支撑	发行一部	大陆	14164.25		752.58		0		0
公司公共	发行一部	大陆	16206.53		0		0		0

